collection,encoder,image_family,image_weight,validation_n,pre2025_validation_transaction_mse,pre2025_validation_transaction_rmse
BAYC,SAM,PLS,0.3,6187,1.915249649114895,1.3839254492619517
BAYC,SAM,PLS,0.4,6187,1.9158564649960788,1.3841446690993247
BAYC,SAM,PLS,0.5,6187,1.9166262315940188,1.3844227069771786
BAYC,SAM,PLS,0.6,6187,1.9175589489087161,1.3847595274663094
BAYC,SAM,PLS,0.7,6187,1.9186546169401688,1.3851550876851908
BAYC,SAM,PLS,0.8,6187,1.9199132356883781,1.3856093373272202
BAYC,SAM,PLS,0.9,6187,1.9213348051533445,1.3861222186926174
BAYC,SAM,PLS,1.0,6187,1.9229193253350667,1.3866936667249428
BAYC,SAM,LinearSVR,0.0,6187,1.9144069057718818,1.38362094005977
BAYC,SAM,LinearSVR,0.1,6187,1.9145192014392927,1.383661519823144
BAYC,SAM,LinearSVR,0.2,6187,1.9147938756771699,1.3837607725604777
BAYC,SAM,LinearSVR,0.3,6187,1.9152309284855134,1.3839186856479369
BAYC,SAM,LinearSVR,0.4,6187,1.9158303598643234,1.3841352390082131
BAYC,SAM,LinearSVR,0.5,6187,1.9165921698135988,1.384410405123278
BAYC,SAM,LinearSVR,0.6,6187,1.9175163583333412,1.3847441490518533
BAYC,SAM,LinearSVR,0.7,6187,1.9186029254235506,1.3851364284515626
