collection,encoder,family,encoder_learner_selected_pre2025,selected_config,pre2025_validation_transaction_rmse,evaluation_equal_token_n_transactions,evaluation_equal_token_n_tokens,evaluation_equal_token_rmse,evaluation_equal_token_mae,evaluation_equal_token_r2,evaluation_equal_token_target_sd,evaluation_transaction_rmse,evaluation_transaction_mae,evaluation_transaction_r2,evaluation_transaction_target_sd
BAYC,SDXL_VAE,LinearSVR,False,"{""C"": 0.01, ""epsilon"": 0.2}",1.3853327520966379,5120,1498,0.2736411754590302,0.12612864426325926,0.26633097308621534,0.3194709364844748,0.2570799669747827,0.11098826157532671,0.11804268250717953,0.2737439007579036
BAYC,SDXL_VAE,HistGradientBoosting,False,"{""l2_regularization"": 1, ""learning_rate"": 0.05, ""max_leaf_nodes"": 15}",1.3844754379363233,5120,1498,0.27200323793592757,0.12511177986930422,0.2750877510019438,0.3194709364844748,0.25567499320284215,0.10934930277066224,0.1276563519254159,0.2737439007579036
BAYC,SDXL_VAE,XGBoost,False,"{""l2_regularization"": 1, ""learning_rate"": 0.05, ""max_leaf_nodes"": 31}",1.384759138658085,5120,1498,0.2737624572880195,0.12773141996741372,0.26568048296830393,0.3194709364844748,0.25780107885508624,0.1122874935746597,0.1130879449904757,0.2737439007579036
BAYC,SDXL_VAE,LightGBM,False,"{""l2_regularization"": 1, ""learning_rate"": 0.05, ""max_leaf_nodes"": 31}",1.38485566724397,5120,1498,0.27239540498479287,0.12745919981438322,0.2729959256395542,0.3194709364844748,0.25783852858467304,0.11239152274085504,0.11283024995481483,0.2737439007579036
BAYC,DreamSim,OLS,False,{},1.3860264409897618,5120,1498,0.285607029772853,0.1288988291007387,0.20076392972866164,0.3194709364844748,0.2612989772359852,0.11194955639210966,0.08885705526079124,0.2737439007579036
BAYC,DreamSim,Ridge,False,"{""alpha"": 1000}",1.3857584449799762,5120,1498,0.2917486284275575,0.12971839021203346,0.16602134309419325,0.3194709364844748,0.26296460481630923,0.11174832143005134,0.07720402991705666,0.2737439007579036
BAYC,DreamSim,ElasticNet,False,"{""alpha"": 0.01, ""l1_ratio"": 0.1}",1.3857890194199143,5120,1498,0.2939511867138429,0.12978385083415517,0.153381555168981,0.3194709364844748,0.26342667911648876,0.11150648728746275,0.07395815633700609,0.2737439007579036
BAYC,DreamSim,PLS,False,"{""components"": 8}",1.3859585706124071,5120,1498,0.2900825328915165,0.12972796270790987,0.17551938690111735,0.3194709364844748,0.26283251101216387,0.11224147513376677,0.07813088480375818,0.2737439007579036
BAYC,DreamSim,LinearSVR,False,"{""C"": 0.01, ""epsilon"": 0.2}",1.385923657391106,5120,1498,0.28630500474509707,0.12895639907414108,0.19685276258620654,0.3194709364844748,0.2613483385807486,0.11170091352783337,0.0885127792166932,0.2737439007579036
BAYC,DreamSim,HistGradientBoosting,False,"{""l2_regularization"": 10, ""learning_rate"": 0.1, ""max_leaf_nodes"": 15}",1.385105428474867,5120,1498,0.2795999486944899,0.13030276882584396,0.2340305207781611,0.3194709364844748,0.2600607211035577,0.11395871106480675,0.09747212983514264,0.2737439007579036
BAYC,DreamSim,XGBoost,True,"{""l2_regularization"": 1, ""learning_rate"": 0.1, ""max_leaf_nodes"": 15}",1.3849173632427434,5120,1498,0.2776936699863118,0.12957126264771002,0.24443949079722593,0.3194709364844748,0.2603755710397512,0.11413462341512756,0.0952854646990492,0.2737439007579036
BAYC,DreamSim,LightGBM,False,"{""l2_regularization"": 1, ""learning_rate"": 0.1, ""max_leaf_nodes"": 15}",1.3853343399885398,5120,1498,0.28265230115356754,0.13095205810866073,0.21721527680100827,0.3194709364844748,0.26124348873636377,0.11412860402538491,0.08924398817057422,0.2737439007579036
BAYC,AIM,OLS,False,{},1.3851019007334247,5120,1498,0.28584325112375847,0.129992158962058,0.1994413103252799,0.3194709364844748,0.2605184219670914,0.11210387039324934,0.09429247781953043,0.2737439007579036
BAYC,AIM,Ridge,False,"{""alpha"": 100}",1.3850013343613647,5120,1498,0.28818029531251926,0.12875007628990665,0.1862971174885537,0.3194709364844748,0.2607596913503138,0.1107737053242118,0.09261412678062564,0.2737439007579036
BAYC,AIM,ElasticNet,False,"{""alpha"": 0.001, ""l1_ratio"": 0.9}",1.3851447121946128,5120,1498,0.29519896779613103,0.12833652565323872,0.14617874974027145,0.3194709364844748,0.26245761458322686,0.10981327719794823,0.08075886227333362,0.2737439007579036
BAYC,AIM,PLS,True,"{""components"": 32}",1.3848827790351361,5120,1498,0.2885845730412607,0.12797257838992993,0.18401248732480857,0.3194709364844748,0.26061612230400927,0.1102501004424922,0.09361302857450915,0.2737439007579036
BAYC,AIM,LinearSVR,False,"{""C"": 0.01, ""epsilon"": 0.1}",1.3850495896028332,5120,1498,0.28744749508624373,0.12896297027318387,0.1904301101859135,0.3194709364844748,0.260575593888174,0.11096417174003852,0.09389491114934956,0.2737439007579036
BAYC,AIM,HistGradientBoosting,False,"{""l2_regularization"": 10, ""learning_rate"": 0.05, ""max_leaf_nodes"": 15}",1.3861648942675961,5120,1498,0.29786238492320877,0.1301249816769017,0.13070213034972145,0.3194709364844748,0.26430449218801405,0.11083207331324116,0.06777620064715806,0.2737439007579036
